"DoctorID","Name"
1,"Aaron Anderson"
2,"Aaron Barrera"
3,"Aaron Boone"
4,"Aaron Brewer"
5,"Aaron Brown"
6,"Aaron Bruce"
7,"Aaron Burnett"
8,"Aaron Cameron MD"
9,"Aaron Christensen"
10,"Aaron Gonzalez"
11,"Aaron Graves"
12,"Aaron Hall"
13,"Aaron Hill"
14,"Aaron Houston"
15,"Aaron Johnson"
16,"Aaron Jones"
17,"Aaron Joseph"
18,"Aaron Martinez"
19,"Aaron Mills"
20,"Aaron Nelson"
21,"Aaron Padilla"
22,"Aaron Powell"
23,"Aaron Riggs"
24,"Aaron Smith"
25,"Aaron Stewart"
26,"Aaron Taylor"
27,"Aaron Williams"
28,"Aaron Wilson"
29,"Aaron Winters"
30,"Abigail Bowers"
31,"Abigail Cooper"
32,"Abigail Cummings"
33,"Abigail Fox"
34,"Abigail Fuller"
35,"Abigail Gonzalez"
36,"Abigail Henry"
37,"Abigail Jenkins"
38,"Abigail Moore"
39,"Abigail Ramirez"
40,"Abigail Rice"
41,"Abigail Smith"
42,"Abigail Vance"
43,"Adam Bailey"
44,"Adam Carter"
45,"Adam David"
46,"Adam Davis"
47,"Adam Downs"
48,"Adam Fowler"
49,"Adam Fox"
50,"Adam Glenn"
51,"Adam Gonzales"
52,"Adam Greene"
53,"Adam Harvey"
54,"Adam Hill"
55,"Adam Howard"
56,"Adam Jackson"
57,"Adam Johnson"
58,"Adam Lyons"
59,"Adam Martin"
60,"Adam Martinez"
61,"Adam Mcbride"
62,"Adam Mccall"
63,"Adam Mcintyre"
64,"Adam Mendoza"
65,"Adam Miller"
66,"Adam Mullins"
67,"Adam Ortega"
68,"Adam Perry"
69,"Adam Petersen"
70,"Adam Rasmussen"
71,"Adam Rojas"
72,"Adam Santiago"
73,"Adam Simon"
74,"Adam Snyder"
75,"Adam Webster"
76,"Adam Welch"
77,"Adam West"
78,"Adam Whitaker"
79,"Adrian Anderson"
80,"Adrian Bell"
81,"Adrian Benson"
82,"Adrian Boyd"
83,"Adrian Davis"
84,"Adrian Eaton"
85,"Adrian Fernandez"
86,"Adrian Gates"
87,"Adrian Kerr"
88,"Adrian Leon"
89,"Adrian Pierce"
90,"Adrian Terry"
91,"Adriana Butler"
92,"Adriana Hall"
93,"Adriana Hoover"
94,"Adrienne English"
95,"Adrienne Johnson"
96,"Adrienne Patterson"
97,"Adrienne Richardson"
98,"Adrienne Roach"
99,"Aimee Camacho"
100,"Alan Frank"
101,"Alan Gregory"
102,"Alan Johnson"
103,"Alan Kerr"
104,"Alan Mosley"
105,"Alan Reyes"
106,"Alan Riggs"
107,"Alan Sanchez"
108,"Alan Watkins"
109,"Albert Curtis"
110,"Albert Mccarty"
111,"Albert Perez"
112,"Alec Cooper"
113,"Alec Ramirez"
114,"Alejandra Decker"
115,"Alejandra Hernandez"
116,"Alejandro Becker"
117,"Alejandro Brown"
118,"Alejandro Rios"
119,"Alejandro Thompson"
120,"Alejandro Waters"
121,"Alex Anderson"
122,"Alex Burgess"
123,"Alex Fernandez"
124,"Alex Figueroa"
125,"Alex Fowler"
126,"Alex Giles"
127,"Alex Gonzales"
128,"Alex Gutierrez"
129,"Alex Hawkins"
130,"Alex Hoffman"
131,"Alex Rose"
132,"Alex Shannon"
133,"Alex Sutton"
134,"Alexa Mendoza"
135,"Alexander Anthony"
136,"Alexander Barrett"
137,"Alexander Bates"
138,"Alexander Clark"
139,"Alexander Cruz"
140,"Alexander Diaz"
141,"Alexander Dixon"
142,"Alexander Gregory"
143,"Alexander Hamilton"
144,"Alexander Jenkins"
145,"Alexander Jimenez"
146,"Alexander Jones"
147,"Alexander Lamb"
148,"Alexander Lowe"
149,"Alexander Monroe"
150,"Alexander Moore"
151,"Alexander Rodriguez"
152,"Alexander Shelton"
153,"Alexander Smith"
154,"Alexandra Greer"
155,"Alexandra Hampton"
156,"Alexandra Hansen"
157,"Alexandra Jordan"
158,"Alexandra Miller"
159,"Alexandra Norman"
160,"Alexandra Nunez"
161,"Alexandra Robbins"
162,"Alexandra Smith"
163,"Alexandria Baxter"
164,"Alexandria Hamilton"
165,"Alexandria Hansen"
166,"Alexandria Jenkins"
167,"Alexandria Luna"
168,"Alexandria Peterson"
169,"Alexandria Potts"
170,"Alexis Alexander"
171,"Alexis Anderson"
172,"Alexis Armstrong"
173,"Alexis Carpenter"
174,"Alexis Craig"
175,"Alexis Cuevas"
176,"Alexis Dixon"
177,"Alexis Edwards"
178,"Alexis Franklin"
179,"Alexis Hall"
180,"Alexis Hardin"
181,"Alexis Howell"
182,"Alexis Hutchinson"
183,"Alexis Jackson"
184,"Alexis Levy"
185,"Alexis Martin"
186,"Alexis Miller"
187,"Alexis Morrison"
188,"Alexis Nolan"
189,"Alexis Pace"
190,"Alexis Reese"
191,"Alexis Reeves"
192,"Alexis Rivera"
193,"Alexis Rodriguez"
194,"Alexis Sandoval"
195,"Alexis Williams"
196,"Alexis Young"
197,"Alice Conley"
198,"Alice Gross DVM"
199,"Alicia Alvarez"
200,"Alicia Carter"
201,"Alicia Daniels"
202,"Alicia Delgado"
203,"Alicia Duffy"
204,"Alicia Ferguson"
205,"Alicia Griffin"
206,"Alicia Henry"
207,"Alicia Hicks"
208,"Alicia Hogan"
209,"Alicia Horton"
210,"Alicia Lopez"
211,"Alicia Miranda"
212,"Alicia Powell"
213,"Alicia Quinn"
214,"Alicia Wilson"
215,"Alisha Figueroa"
216,"Alisha Hernandez"
217,"Alisha James"
218,"Alisha Miller"
219,"Alison Brady"
220,"Alison Crosby"
221,"Alison Leonard"
222,"Alison Murphy"
223,"Alison Patterson"
224,"Alison Reilly"
225,"Alison Stevenson"
226,"Allen Barnett"
227,"Allen Bowers"
228,"Allen Chen"
229,"Allen Douglas"
230,"Allen Hancock"
231,"Allen Mendoza"
232,"Allen Powers"
233,"Allen Russo"
234,"Allen Walsh"
235,"Allen White"
236,"Allen Wilkinson"
237,"Allison Bond"
238,"Allison Cameron"
239,"Allison Davis MD"
240,"Allison Garcia"
241,"Allison Hendrix"
242,"Allison Hodge"
243,"Allison Holloway"
244,"Allison Jimenez"
245,"Allison Lawrence"
246,"Allison Martinez"
247,"Allison Mendoza"
248,"Allison Powell"
249,"Allison Roy"
250,"Allison Schroeder"
251,"Allison Smith DDS"
252,"Allison Steele"
253,"Allison Trevino"
254,"Allison Weeks"
255,"Allison Wilson"
256,"Allison Woods"
257,"Allison Young"
258,"Alvin Wright"
259,"Alyssa Acevedo"
260,"Alyssa Baldwin"
261,"Alyssa Collins"
262,"Alyssa Cox"
263,"Alyssa Fields"
264,"Alyssa Hale"
265,"Alyssa Haynes"
266,"Alyssa Johnson"
267,"Alyssa Larson"
268,"Alyssa Lyons"
269,"Alyssa Mitchell"
270,"Alyssa Morgan"
271,"Alyssa Schmidt"
272,"Alyssa Schultz"
273,"Alyssa Smith"
274,"Alyssa Thomas"
275,"Alyssa Watts"
276,"Amanda Anderson"
277,"Amanda Arnold"
278,"Amanda Austin"
279,"Amanda Barnes"
280,"Amanda Berry"
281,"Amanda Bishop"
282,"Amanda Blackburn"
283,"Amanda Brady"
284,"Amanda Brandt"
285,"Amanda Brown"
286,"Amanda Carter"
287,"Amanda Clark"
288,"Amanda Davis"
289,"Amanda Dunlap"
290,"Amanda Elliott"
291,"Amanda Evans"
292,"Amanda Flores"
293,"Amanda Franklin"
294,"Amanda Fuller"
295,"Amanda Garcia"
296,"Amanda Green"
297,"Amanda Hernandez"
298,"Amanda Hill"
299,"Amanda Howard"
300,"Amanda Howard DDS"
301,"Amanda Hughes"
302,"Amanda Ingram"
303,"Amanda James"
304,"Amanda Johnson"
305,"Amanda Jones"
306,"Amanda Jordan"
307,"Amanda Kane"
308,"Amanda King MD"
309,"Amanda Knight"
310,"Amanda Long"
311,"Amanda Lopez"
312,"Amanda Mcintyre"
313,"Amanda Meyers"
314,"Amanda Moon"
315,"Amanda Moreno"
316,"Amanda Munoz"
317,"Amanda Navarro"
318,"Amanda Parsons"
319,"Amanda Perry"
320,"Amanda Peterson"
321,"Amanda Pope"
322,"Amanda Porter"
323,"Amanda Rangel"
324,"Amanda Richardson"
325,"Amanda Riggs"
326,"Amanda Rodgers"
327,"Amanda Rogers"
328,"Amanda Rush"
329,"Amanda Sanders"
330,"Amanda Shaw"
331,"Amanda Shepard"
332,"Amanda Sherman"
333,"Amanda Stephenson"
334,"Amanda Stout"
335,"Amanda Tanner"
336,"Amanda Thompson"
337,"Amanda Tucker"
338,"Amanda Vasquez"
339,"Amanda Wagner"
340,"Amanda Walker"
341,"Amanda Wallace"
342,"Amanda Weiss"
343,"Amanda White"
344,"Amanda Williams"
345,"Amanda Wright"
346,"Amanda Young"
347,"Amber Adams"
348,"Amber Blankenship"
349,"Amber Burch"
350,"Amber Carter"
351,"Amber Cooke"
352,"Amber Cooper"
353,"Amber Cunningham"
354,"Amber Flores"
355,"Amber Fox"
356,"Amber Fritz"
357,"Amber Garcia"
358,"Amber Gonzalez"
359,"Amber Hayes"
360,"Amber Hunt"
361,"Amber Jennings"
362,"Amber Johnson"
363,"Amber Lewis"
364,"Amber Lopez"
365,"Amber Madden"
366,"Amber Martin"
367,"Amber Meza"
368,"Amber Morris"
369,"Amber Oconnell"
370,"Amber Parker"
371,"Amber Parker MD"
372,"Amber Payne"
373,"Amber Pope DDS"
374,"Amber Shaw"
375,"Amber Taylor"
376,"Amber Thomas"
377,"Amber Vance"
378,"Amber Walker"
379,"Amber Watkins"
380,"Amber Welch"
381,"Amber Wilson"
382,"Amber Young"
383,"Amy Aguirre"
384,"Amy Andrews"
385,"Amy Armstrong"
386,"Amy Bailey"
387,"Amy Boyd"
388,"Amy Brooks"
389,"Amy Brown"
390,"Amy Bryant"
391,"Amy Bush"
392,"Amy Carney MD"
393,"Amy Carpenter"
394,"Amy Carter"
395,"Amy Castillo"
396,"Amy Cook"
397,"Amy Cruz"
398,"Amy Daniels"
399,"Amy Daniels PhD"
400,"Amy Diaz"
401,"Amy Dixon"
402,"Amy Duncan"
403,"Amy Eaton"
404,"Amy Figueroa MD"
405,"Amy Fletcher"
406,"Amy Foster"
407,"Amy Frazier"
408,"Amy Gutierrez"
409,"Amy Harrison"
410,"Amy Hill"
411,"Amy Jackson"
412,"Amy Johnson"
413,"Amy Jones"
414,"Amy King"
415,"Amy Lambert"
416,"Amy Lopez"
417,"Amy Martinez"
418,"Amy Matthews"
419,"Amy Maynard"
420,"Amy Mcpherson"
421,"Amy Mejia"
422,"Amy Miller"
423,"Amy Moore"
424,"Amy Payne"
425,"Amy Pitts"
426,"Amy Porter"
427,"Amy Richards"
428,"Amy Rios"
429,"Amy Rodriguez"
430,"Amy Rosales"
431,"Amy Santos"
432,"Amy Schmidt"
433,"Amy Simmons"
434,"Amy Skinner"
435,"Amy Smith"
436,"Amy Torres"
437,"Amy Vazquez"
438,"Amy Ward"
439,"Amy Watson"
440,"Amy Wells"
441,"Amy Whitaker"
442,"Amy Williams"
443,"Amy Wright"
444,"Amy Young"
445,"Ana Flores"
446,"Ana Long"
447,"Ana Salinas"
448,"Andre Abbott"
449,"Andre Hernandez"
450,"Andre Johnson"
451,"Andre Lee"
452,"Andre Mcdaniel"
453,"Andre Miller"
454,"Andre Ray"
455,"Andre Reynolds"
456,"Andre Schultz"
457,"Andre Smith"
458,"Andre Stanley"
459,"Andre Walls"
460,"Andre Watson"
461,"Andrea Arroyo"
462,"Andrea Bailey"
463,"Andrea Baldwin"
464,"Andrea Bass"
465,"Andrea Brown"
466,"Andrea Campbell"
467,"Andrea Clark"
468,"Andrea Clarke"
469,"Andrea Cordova"
470,"Andrea Garza"
471,"Andrea Harris"
472,"Andrea Hudson"
473,"Andrea Jordan"
474,"Andrea Kelly"
475,"Andrea Kent"
476,"Andrea Kim"
477,"Andrea Mendez"
478,"Andrea Miller"
479,"Andrea Molina"
480,"Andrea Mora"
481,"Andrea Nguyen"
482,"Andrea Owen"
483,"Andrea Pineda"
484,"Andrea Reed"
485,"Andrea Salas"
486,"Andrea Smith"
487,"Andrea Torres MD"
488,"Andrea Vargas"
489,"Andrea Wells"
490,"Andres Hernandez"
491,"Andres Wong"
492,"Andrew Adams"
493,"Andrew Andrews"
494,"Andrew Bates"
495,"Andrew Bender"
496,"Andrew Blake"
497,"Andrew Brown"
498,"Andrew Burton Jr."
499,"Andrew Calderon"
500,"Andrew Cannon"
501,"Andrew Carter"
502,"Andrew Castillo"
503,"Andrew Clark"
504,"Andrew Delgado"
505,"Andrew Dodson"
506,"Andrew Garcia"
507,"Andrew Gonzalez"
508,"Andrew Harvey"
509,"Andrew Holloway"
510,"Andrew James"
511,"Andrew Johnson IV"
512,"Andrew Juarez"
513,"Andrew King"
514,"Andrew Lawrence"
515,"Andrew Li"
516,"Andrew Maldonado"
517,"Andrew Mendez"
518,"Andrew Middleton"
519,"Andrew Miller"
520,"Andrew Moore"
521,"Andrew Nash"
522,"Andrew Paul"
523,"Andrew Phillips"
524,"Andrew Powell"
525,"Andrew Rios"
526,"Andrew Roth"
527,"Andrew Rowe"
528,"Andrew Sandoval"
529,"Andrew Scott"
530,"Andrew Sharp"
531,"Andrew Simmons"
532,"Andrew Smith"
533,"Andrew Thompson"
534,"Andrew Wagner"
535,"Andrew Walker"
536,"Andrew Wallace"
537,"Andrew Warren"
538,"Andrew Weaver"
539,"Angel Bailey"
540,"Angel Campbell"
541,"Angel King"
542,"Angel Larson"
543,"Angel Mckinney"
544,"Angel Miller"
545,"Angel Nixon"
546,"Angel Parsons"
547,"Angel Perez"
548,"Angel Ramos"
549,"Angel Riley"
550,"Angel Willis"
551,"Angela Baker"
552,"Angela Barrett"
553,"Angela Branch"
554,"Angela Brown"
555,"Angela Carr"
556,"Angela Coleman"
557,"Angela Colon"
558,"Angela Crawford"
559,"Angela Cruz DDS"
560,"Angela Dougherty"
561,"Angela Evans DDS"
562,"Angela Floyd"
563,"Angela Franco"
564,"Angela Freeman"
565,"Angela Garcia"
566,"Angela Gomez"
567,"Angela Harrell"
568,"Angela Hicks"
569,"Angela Jackson"
570,"Angela Johnson"
571,"Angela Jones"
572,"Angela Kim"
573,"Angela King"
574,"Angela King DVM"
575,"Angela Lane"
576,"Angela Lee"
577,"Angela Lewis"
578,"Angela Love"
579,"Angela Marshall"
580,"Angela Mathis"
581,"Angela Mcdonald"
582,"Angela Mendoza"
583,"Angela Miller"
584,"Angela Morgan"
585,"Angela Murphy"
586,"Angela Parker"
587,"Angela Perez"
588,"Angela Ponce"
589,"Angela Price"
590,"Angela Pruitt"
591,"Angela Rhodes"
592,"Angela Rodgers"
593,"Angela Rodriguez"
594,"Angela Rubio"
595,"Angela Schneider"
596,"Angela Serrano"
597,"Angela Stein"
598,"Angela Taylor"
599,"Angela Terry"
600,"Angela Vance"
601,"Angela Walton"
602,"Angela Wright"
603,"Angelica Bell"
604,"Angelica Gross"
605,"Angelica Houston"
606,"Angelica Moore"
607,"Angelica Quinn"
608,"Angelica Sellers"
609,"Angelica Smith"
610,"Angie Hawkins"
611,"Angie Vega"
612,"Anita Colon"
613,"Anita Velazquez"
614,"Ann Austin"
615,"Ann Baker"
616,"Ann Brewer"
617,"Ann Butler"
618,"Ann Cole"
619,"Ann Davis"
620,"Ann Garner"
621,"Ann Gross MD"
622,"Ann Henry"
623,"Ann Hernandez"
624,"Ann Hill"
625,"Ann Joseph"
626,"Ann Lam"
627,"Ann Payne"
628,"Ann Stevenson"
629,"Anna Adams"
630,"Anna Aguilar"
631,"Anna Allen"
632,"Anna Archer"
633,"Anna Baldwin"
634,"Anna Campbell"
635,"Anna Chan"
636,"Anna Ellis"
637,"Anna Farley"
638,"Anna Fisher"
639,"Anna Foster"
640,"Anna Greene"
641,"Anna Hall"
642,"Anna Holmes"
643,"Anna Jackson"
644,"Anna Kim"
645,"Anna King"
646,"Anna Knapp"
647,"Anna Lopez"
648,"Anna Lyons"
649,"Anna Mclean"
650,"Anna Meyers"
651,"Anna Miles"
652,"Anna Moore"
653,"Anna Pearson"
654,"Anna Prince"
655,"Anna Ryan"
656,"Anna Sherman"
657,"Anna Smith"
658,"Anna Taylor"
659,"Anna Walker"
660,"Anna Waller"
661,"Anne Banks"
662,"Anne Bonilla"
663,"Anne Ellis"
664,"Anne Gonzalez"
665,"Anne Pierce"
666,"Anne Simmons"
667,"Anne Tanner"
668,"Anne Velazquez"
669,"Anne White"
670,"Annette Allen"
671,"Annette Cook"
672,"Annette Hamilton"
673,"Annette Hunt"
674,"Annette Keller"
675,"Annette Martinez"
676,"Annette Peterson"
677,"Annette Simpson"
678,"Annette Smith"
679,"Annette Taylor"
680,"Annette Tucker"
681,"Anthony Barnes"
682,"Anthony Bell"
683,"Anthony Berry"
684,"Anthony Blake"
685,"Anthony Booth"
686,"Anthony Bryant"
687,"Anthony Butler"
688,"Anthony Campos"
689,"Anthony Cole"
690,"Anthony Collins"
691,"Anthony Davis"
692,"Anthony Dean"
693,"Anthony Francis"
694,"Anthony Fuller"
695,"Anthony Galvan"
696,"Anthony Garcia"
697,"Anthony Gillespie"
698,"Anthony Gonzalez"
699,"Anthony Good"
700,"Anthony Gregory"
701,"Anthony Harris"
702,"Anthony Hernandez"
703,"Anthony Hoffman"
704,"Anthony Howard"
705,"Anthony Hunt"
706,"Anthony Jackson"
707,"Anthony Jimenez"
708,"Anthony Jones"
709,"Anthony Kelly"
710,"Anthony Lam"
711,"Anthony Lopez"
712,"Anthony Love"
713,"Anthony Lowery"
714,"Anthony Lynch"
715,"Anthony Lynn"
716,"Anthony Maldonado"
717,"Anthony Mclaughlin Jr."
718,"Anthony Miller"
719,"Anthony Moore"
720,"Anthony Munoz"
721,"Anthony Murphy"
722,"Anthony Peck DDS"
723,"Anthony Phillips"
724,"Anthony Porter"
725,"Anthony Reed"
726,"Anthony Roberts"
727,"Anthony Romero"
728,"Anthony Ross"
729,"Anthony Russell"
730,"Anthony Sanchez"
731,"Anthony Schultz"
732,"Anthony Stephens"
733,"Anthony Stewart"
734,"Anthony Taylor"
735,"Anthony Thomas DDS"
736,"Anthony Thompson"
737,"Anthony Trujillo"
738,"Anthony Wallace"
739,"Anthony Walters"
740,"Anthony Williams"
741,"Anthony Woods"
742,"Anthony Zuniga"
743,"Antonio Acevedo"
744,"Antonio Andrews MD"
745,"Antonio Campbell"
746,"Antonio Chen"
747,"Antonio Lopez"
